Account_ID,Account_Open_Date,Account_Age_Days,Region,Avg_Monthly_Balance_THB,Is_Mule,Total_Inflow_THB,Total_Outflow_THB,Inbound_Count,Outbound_Count,Outflow_Ratio_24h,Counterparty_Diversity,Off_Peak_Frequency,Round_Amount_Ratio
ACC00001,2025-02-27,424,North,232207.62,0,20750.62,13519.6,3,4,0.9638,1.0,0.0,0.0
ACC00002,2020-02-05,2273,Bangkok,79646.19,0,2544.44,84634.19,4,8,0.1437,1.0,0.0833,0.0
ACC00003,2019-09-24,2407,Northeast,131623.33,0,35377.95,1705.87,5,5,0.0025,1.0,0.1,0.2
ACC00004,2016-07-13,3575,East,9883.92,0,75907.08,7825.01,5,5,0.0,1.0,0.0,0.0
ACC00005,2023-10-16,924,Central,35653.85,0,34174.4,65113.48,6,9,0.0132,1.0,0.0,0.1667
ACC00006,2017-08-13,3179,Bangkok,10018.27,0,6941.04,38478.43,5,11,0.2595,1.0,0.0,0.0
ACC00007,2017-02-16,3357,Central,1364.19,0,8026.45,7950.4,10,7,0.0,1.0,0.0,0.0
ACC00008,2023-04-17,1106,East,33116.44,0,28810.95,3999.42,6,6,0.0,1.0,0.0,0.1667
ACC00009,2019-05-22,2532,Bangkok,63219.76,0,9741.17,2341.04,9,3,0.0,1.0,0.0833,0.0
ACC00010,2017-08-31,3161,Central,75705.49,0,28368.39,95255.14,6,5,1.0,1.0,0.2727,0.1667
ACC00011,2024-03-15,773,Central,37472.69,0,38870.97,14497.63,9,5,0.081,1.0,0.0714,0.1111
ACC00012,2025-10-24,185,Central,10633.47,0,5214.63,4235.18,5,5,0.1498,0.8,0.0,0.0
ACC00013,2018-11-18,2717,South,21032.2,0,2692.9,367.69,3,2,0.0532,1.0,0.0,0.0
ACC00014,2022-07-16,1381,Central,7159.48,0,9313.16,4902.24,9,5,0.4668,1.0,0.0,0.0
ACC00015,2020-01-10,2299,Central,6115.83,0,12329.79,7124.38,5,11,0.1614,1.0,0.0,0.2
ACC00016,2023-10-14,926,Northeast,100678.57,0,2836.16,9654.01,4,6,0.0,1.0,0.0,0.0
ACC00017,2021-09-15,1685,Bangkok,53165.53,0,11037.47,3814.68,8,4,0.0,1.0,0.0833,0.0
ACC00018,2023-10-25,915,Central,92416.05,0,14286.88,7812.63,8,6,0.0,1.0,0.0,0.125
ACC00019,2020-08-15,2081,South,17662.87,0,5323.32,20461.72,5,8,1.0,1.0,0.0,0.0
ACC00020,2016-10-17,3479,West,85937.59,0,14479.97,66266.33,6,7,0.0415,1.0,0.0,0.1667
ACC00021,2023-12-28,851,East,3530.56,0,21756.02,5828.23,6,6,0.3444,1.0,0.0,0.3333
ACC00022,2021-02-16,1896,Central,51519.05,0,33191.57,8076.73,7,7,0.0367,1.0,0.0714,0.2857
ACC00023,2022-04-03,1485,Bangkok,339048.5,0,6533.05,23148.37,4,6,1.0,1.0,0.1,0.25
ACC00024,2019-04-17,2567,Bangkok,33838.17,0,2921.99,10356.12,2,12,0.0,1.0,0.0,0.0
ACC00025,2022-01-25,1553,Bangkok,11453.99,0,3271.09,96279.49,7,5,1.0,1.0,0.1667,0.0
ACC00026,2023-08-22,979,Northeast,2503.77,0,23326.31,2403.46,7,4,0.0,1.0,0.0,0.1429
ACC00027,2022-01-21,1557,East,5673.07,0,40315.82,14871.59,8,8,0.0753,1.0,0.0,0.375
ACC00028,2018-04-16,2933,Bangkok,4357.71,0,18818.84,6975.65,6,11,0.0836,1.0,0.0588,0.1667
ACC00029,2023-06-13,1049,Central,24074.63,0,1757.92,24172.27,2,5,0.0,1.0,0.0,0.0
ACC00030,2024-11-24,519,North,22273.44,0,2365.07,21807.51,7,5,1.0,1.0,0.0,0.0
ACC00031,2019-12-19,2321,Northeast,59148.39,0,24744.74,6394.41,8,5,0.0,1.0,0.0769,0.125
ACC00032,2017-01-15,3389,Central,5556.57,0,10058.49,91.21,7,1,0.0,1.0,0.125,0.0
ACC00033,2024-04-18,739,Bangkok,9302.48,0,11215.2,2655.2,8,4,0.0,1.0,0.0833,0.0
ACC00034,2023-04-30,1093,Northeast,8126.29,0,27619.56,11108.73,6,12,0.0619,1.0,0.0,0.1667
ACC00035,2018-08-10,2817,Bangkok,8869.82,0,6859.25,16901.99,8,5,0.1641,1.0,0.0,0.0
ACC00036,2020-03-16,2233,South,24199.58,0,2946.03,28588.3,4,9,0.2498,1.0,0.0,0.0
ACC00037,2021-06-12,1780,Bangkok,35097.71,0,9125.75,6826.08,5,5,0.0,1.0,0.0,0.2
ACC00038,2019-07-04,2489,Northeast,66416.26,0,4281.72,17365.62,6,5,0.2629,1.0,0.0,0.0
ACC00039,2017-01-20,3384,Northeast,6185.34,0,13018.59,1123.11,6,4,0.0045,1.0,0.0,0.0
ACC00040,2017-09-02,3159,South,29729.11,0,19180.95,28468.69,6,4,0.005,1.0,0.0,0.0
ACC00041,2024-11-21,522,Northeast,84786.13,0,2030.23,26058.14,5,7,1.0,1.0,0.0,0.0
ACC00042,2017-10-12,3119,Central,66313.27,0,31266.62,5082.71,9,4,0.0,1.0,0.0,0.1111
ACC00043,2025-05-30,332,Bangkok,11845.74,0,5542.8,5129.82,9,6,0.0871,1.0,0.0,0.0
ACC00044,2025-09-27,212,Central,102080.01,0,6019.42,13608.71,9,7,0.1289,1.0,0.0625,0.0
ACC00045,2020-12-10,1964,Bangkok,9178.61,0,41031.52,9628.03,10,10,0.1366,1.0,0.05,0.0
ACC00046,2024-05-05,722,Central,3939.31,0,3104.42,6745.55,3,6,0.0,1.0,0.0,0.0
ACC00047,2023-06-25,1037,North,12199.74,0,3170.77,3465.17,5,5,0.0,1.0,0.0,0.0
ACC00048,2026-03-19,39,Central,1869.09,1,114250.0,114300.0,3,5,1.0,0.6667,0.25,0.6667
ACC00049,2024-04-29,728,Bangkok,68800.86,0,47198.66,37454.0,7,3,0.0,1.0,0.1,0.2857
ACC00050,2016-08-04,3553,Central,15479.0,0,3823.23,1452.15,6,5,0.0529,1.0,0.0,0.0
ACC00051,2017-04-02,3312,Northeast,174967.69,0,44263.25,10081.46,10,9,0.0257,1.0,0.0,0.2
ACC00052,2024-12-08,505,Bangkok,3137.72,0,8044.45,2826.22,7,5,0.0,1.0,0.0,0.0
ACC00053,2019-03-21,2594,Northeast,27872.65,0,67220.38,4386.32,6,4,0.0,1.0,0.0,0.3333
ACC00054,2016-08-27,3530,Central,4388.13,0,7495.71,3389.51,6,5,0.0911,1.0,0.0,0.1667
ACC00055,2018-02-19,2989,East,16078.61,0,11311.61,1075.12,4,4,0.0257,1.0,0.0,0.25
ACC00056,2022-04-01,1487,West,31044.65,0,816.56,27020.0,1,6,0.0,1.0,0.0,0.0
ACC00057,2021-04-05,1848,East,275629.4,0,4436.3,4492.68,4,7,0.0,1.0,0.0,0.0
ACC00058,2023-06-16,1046,East,14880.34,0,3007.38,4418.75,6,3,0.0,1.0,0.0,0.0
ACC00059,2020-04-17,2201,Bangkok,2080.52,0,31957.25,18921.63,3,6,0.0,1.0,0.0,0.3333
ACC00060,2024-09-04,600,Northeast,74143.35,0,3211.74,120896.89,7,4,1.0,1.0,0.0909,0.0
ACC00061,2022-10-11,1294,Bangkok,10389.72,0,24928.7,12485.51,8,9,0.0,1.0,0.0,0.125
ACC00062,2026-02-16,70,Bangkok,4964.95,1,150000.0,150000.0,2,2,1.0,1.0,0.0,1.0
ACC00063,2024-08-09,626,Central,71038.7,0,24930.38,17358.52,7,9,0.3407,1.0,0.125,0.1429
ACC00064,2016-05-11,3638,Bangkok,7421.35,0,6793.23,10780.08,7,8,0.0811,1.0,0.0,0.1429
