Transaction_ID,Sender_Account_ID,Receiver_Account_ID,Amount_THB,Timestamp,Channel,Is_Scam_Inflow,Is_Mule_Outflow,Sender_Is_Mule,Receiver_Is_Mule
TXN0011493,ACC00207,ACC01017,2762.39,2026-04-22 11:09:00.000000,ATM,0,0,0,0
TXN0011861,ACC01988,ACC01293,30000.0,2026-03-31 12:21:00.000000,Mobile,0,0,0,0
TXN0007720,ACC00592,ACC00668,1569.11,2026-04-06 06:07:00.000000,ATM,0,0,0,0
TXN0008302,ACC01973,ACC01613,1083.88,2026-04-04 14:00:00.000000,Internet Banking,0,0,0,0
TXN0009003,ACC00369,ACC00357,2519.95,2026-04-08 19:49:00.000000,Mobile,0,0,0,0
TXN0004193,ACC00885,ACC00736,595.02,2026-04-26 09:55:00.000000,Mobile,0,0,0,0
TXN0000519,ACC01486,ACC01933,15800.0,2026-04-05 15:29:15.820180,Mobile,0,1,1,0
TXN0007583,ACC01784,ACC00523,624.49,2026-04-10 18:52:00.000000,Internet Banking,0,0,0,0
TXN0007050,ACC01679,ACC01913,892.53,2026-04-17 18:05:00.000000,Internet Banking,0,0,0,0
TXN0006866,ACC01868,ACC01333,1577.7,2026-04-25 12:35:00.000000,Mobile,0,0,0,0
TXN0003127,ACC00358,ACC01900,56.3,2026-04-18 10:33:00.000000,Mobile,0,0,0,0
TXN0000219,ACC01675,ACC00494,15000.0,2026-03-31 16:12:00.000000,Mobile,1,0,0,1
TXN0008318,ACC00188,ACC01183,146.56,2026-04-22 13:31:00.000000,Mobile,0,0,0,0
TXN0011006,ACC00597,ACC01125,809.5,2026-04-02 15:15:00.000000,ATM,0,0,0,0
TXN0002251,ACC00590,ACC01304,1996.42,2026-04-05 15:21:00.000000,Mobile,0,0,0,0
TXN0004601,ACC00108,ACC01431,399.56,2026-04-08 07:56:00.000000,Branch,0,0,0,0
TXN0003897,ACC01502,ACC00922,1730.01,2026-03-31 15:04:00.000000,Mobile,0,0,0,0
TXN0003950,ACC00183,ACC00640,723.4,2026-04-22 08:57:00.000000,Mobile,0,0,0,0
TXN0001214,ACC00640,ACC00697,359.19,2026-04-15 14:57:00.000000,Mobile,0,0,0,0
TXN0004636,ACC01537,ACC01732,349.84,2026-04-10 12:37:00.000000,Mobile,0,0,0,0
TXN0006608,ACC01625,ACC00618,197.86,2026-04-01 10:47:00.000000,Branch,0,0,0,0
TXN0011736,ACC00939,ACC00358,70.65,2026-04-13 10:34:00.000000,Mobile,0,0,0,0
TXN0009083,ACC01994,ACC00024,2078.25,2026-03-29 18:57:00.000000,ATM,0,0,0,0
TXN0006625,ACC01272,ACC00244,1265.3,2026-04-07 11:15:00.000000,Mobile,0,0,0,0
TXN0001198,ACC00588,ACC00411,1216.18,2026-04-19 08:03:00.000000,Branch,0,0,0,0
TXN0008497,ACC01578,ACC01520,1842.44,2026-04-02 22:33:00.000000,Mobile,0,0,0,0
TXN0000725,ACC00142,ACC00644,1253.04,2026-04-26 11:42:00.000000,Internet Banking,0,0,0,0
TXN0005534,ACC00656,ACC01053,190.95,2026-04-13 09:49:00.000000,Internet Banking,0,0,0,0
TXN0010392,ACC00832,ACC00010,290.27,2026-04-04 18:49:00.000000,Mobile,0,0,0,0
TXN0008240,ACC01775,ACC01821,1288.59,2026-04-18 16:59:00.000000,Mobile,0,0,0,0
TXN0005628,ACC00196,ACC00268,1271.93,2026-04-27 14:58:00.000000,Internet Banking,0,0,0,0
TXN0008315,ACC01589,ACC01645,67.63,2026-04-01 15:19:00.000000,ATM,0,0,0,0
TXN0011927,ACC01203,ACC01922,711.27,2026-04-15 08:45:00.000000,Mobile,0,0,0,0
TXN0002699,ACC00487,ACC00752,227.87,2026-04-26 11:09:00.000000,Internet Banking,0,0,0,0
TXN0004875,ACC01684,ACC01869,960.82,2026-04-06 12:41:00.000000,Mobile,0,0,0,0
TXN0004247,ACC01942,ACC00203,432.37,2026-04-27 15:24:00.000000,Branch,0,0,0,0
TXN0006941,ACC00461,ACC01091,15000.0,2026-04-25 20:15:00.000000,Mobile,0,0,0,0
TXN0008405,ACC00710,ACC01767,1879.55,2026-04-16 01:47:00.000000,Mobile,0,0,0,0
TXN0003483,ACC01661,ACC01361,242.11,2026-04-08 11:17:00.000000,ATM,0,0,0,0
TXN0011840,ACC00722,ACC00216,700.54,2026-03-30 12:29:00.000000,Internet Banking,0,0,0,0
TXN0002317,ACC00024,ACC01043,1669.75,2026-04-07 15:40:00.000000,Internet Banking,0,0,0,0
TXN0004050,ACC01365,ACC01731,2237.24,2026-04-26 09:43:00.000000,Mobile,0,0,0,0
TXN0003521,ACC00292,ACC00867,456.87,2026-04-27 14:40:00.000000,Branch,0,0,0,0
TXN0007772,ACC00711,ACC00920,20000.0,2026-03-29 16:46:00.000000,Mobile,0,0,0,0
TXN0007646,ACC01869,ACC01747,139.88,2026-04-08 17:18:00.000000,Mobile,0,0,0,0
TXN0005467,ACC00023,ACC01571,251.19,2026-03-29 19:32:00.000000,ATM,0,0,0,0
TXN0008250,ACC00853,ACC01357,1145.96,2026-04-02 11:49:00.000000,Mobile,0,0,0,0
TXN0002110,ACC00439,ACC00604,1239.55,2026-04-10 06:51:00.000000,Mobile,0,0,0,0
TXN0003044,ACC00236,ACC01466,245.96,2026-04-17 08:51:00.000000,ATM,0,0,0,0
TXN0006051,ACC01879,ACC00895,1680.17,2026-04-24 19:53:00.000000,ATM,0,0,0,0
TXN0007709,ACC01670,ACC01824,625.79,2026-04-01 16:26:00.000000,Mobile,0,0,0,0
TXN0010172,ACC00204,ACC00542,424.62,2026-03-29 07:32:00.000000,Mobile,0,0,0,0
TXN0009237,ACC01723,ACC00456,1285.17,2026-04-13 17:56:00.000000,Internet Banking,0,0,0,0
TXN0005472,ACC01180,ACC01941,1063.83,2026-04-13 22:26:00.000000,Mobile,0,0,0,0
TXN0007766,ACC00324,ACC01934,75.32,2026-04-16 06:42:00.000000,Internet Banking,0,0,0,0
TXN0011457,ACC01542,ACC00541,1474.65,2026-04-26 23:02:00.000000,ATM,0,0,0,0
TXN0003910,ACC01640,ACC01181,30000.0,2026-04-06 17:12:00.000000,Mobile,0,0,0,0
TXN0010033,ACC00028,ACC00749,677.54,2026-04-21 12:10:00.000000,ATM,0,0,0,0
TXN0011085,ACC00930,ACC00769,488.0,2026-04-06 08:11:00.000000,Mobile,0,0,0,0
TXN0008627,ACC01267,ACC01878,1578.59,2026-04-16 19:16:00.000000,Mobile,0,0,0,0
TXN0002341,ACC01980,ACC01362,678.53,2026-03-31 07:06:00.000000,Mobile,0,0,0,0
TXN0000361,ACC00903,ACC00507,6100.0,2026-04-13 01:03:10.376290,ATM,0,1,1,0
TXN0008573,ACC00779,ACC00775,817.25,2026-04-09 18:30:00.000000,Mobile,0,0,0,0
TXN0001744,ACC00801,ACC01792,282.5,2026-04-03 14:34:00.000000,ATM,0,0,0,0
TXN0011964,ACC00259,ACC00600,435.17,2026-04-05 15:48:00.000000,Mobile,0,0,0,0
TXN0008082,ACC00128,ACC00061,172.8,2026-04-05 11:20:00.000000,Internet Banking,0,0,0,0
TXN0010465,ACC00118,ACC00325,100.01,2026-04-23 00:53:00.000000,ATM,0,0,0,0
TXN0010122,ACC01855,ACC01312,20000.0,2026-04-03 14:34:00.000000,Mobile,0,0,0,0
TXN0004794,ACC00984,ACC00431,1492.06,2026-04-27 15:24:00.000000,ATM,0,0,0,0
TXN0010053,ACC00960,ACC01507,20000.0,2026-04-10 21:55:00.000000,Internet Banking,0,0,0,0
TXN0007774,ACC01692,ACC00466,1118.18,2026-04-21 13:01:00.000000,Mobile,0,0,0,0
TXN0003285,ACC00085,ACC01741,409.28,2026-04-08 09:17:00.000000,ATM,0,0,0,0
TXN0003223,ACC00471,ACC01877,650.47,2026-03-31 15:07:00.000000,Mobile,0,0,0,0
TXN0006388,ACC00113,ACC01127,1736.18,2026-04-18 17:52:00.000000,Mobile,0,0,0,0
TXN0010272,ACC00267,ACC01134,141.05,2026-04-07 20:41:00.000000,Mobile,0,0,0,0
TXN0000669,ACC01939,ACC01908,1100.0,2026-04-27 04:03:24.341230,Mobile,0,1,1,0
TXN0002289,ACC01889,ACC01279,75.9,2026-04-06 20:04:00.000000,ATM,0,0,0,0
TXN0011974,ACC00021,ACC01112,604.83,2026-04-11 18:37:00.000000,Mobile,0,0,0,0
TXN0004334,ACC00789,ACC01793,2203.28,2026-04-22 17:57:00.000000,Branch,0,0,0,0
TXN0008123,ACC00057,ACC00429,724.35,2026-04-23 09:47:00.000000,Internet Banking,0,0,0,0
TXN0009412,ACC01397,ACC00857,636.7,2026-04-24 12:56:00.000000,Internet Banking,0,0,0,0
TXN0011363,ACC00696,ACC01672,10000.0,2026-04-10 17:22:00.000000,Mobile,0,0,0,0
TXN0009170,ACC01079,ACC01864,53.3,2026-04-21 16:01:00.000000,Branch,0,0,0,0
TXN0002616,ACC00518,ACC01852,1807.75,2026-04-07 19:00:00.000000,Mobile,0,0,0,0
TXN0011353,ACC01597,ACC01186,1784.18,2026-04-05 14:29:00.000000,Mobile,0,0,0,0
TXN0008852,ACC01649,ACC00153,1099.71,2026-04-06 09:13:00.000000,Mobile,0,0,0,0
TXN0003853,ACC01266,ACC00417,936.41,2026-04-21 13:12:00.000000,Mobile,0,0,0,0
TXN0007248,ACC01086,ACC00014,472.01,2026-04-27 12:33:00.000000,Mobile,0,0,0,0
TXN0000380,ACC00918,ACC00496,4600.0,2026-04-20 23:50:55.860500,ATM,0,1,1,0
TXN0000915,ACC00928,ACC01572,530.14,2026-04-02 17:22:00.000000,Mobile,0,0,0,0
TXN0010074,ACC00952,ACC01535,68.16,2026-04-11 11:17:00.000000,ATM,0,0,0,0
TXN0003594,ACC00874,ACC01891,897.74,2026-04-23 11:32:00.000000,Branch,0,0,0,0
TXN0003001,ACC00967,ACC01609,1402.31,2026-04-19 16:22:00.000000,Internet Banking,0,0,0,0
TXN0007825,ACC01162,ACC01104,10000.0,2026-04-03 18:48:00.000000,Mobile,0,0,0,0
TXN0011668,ACC01220,ACC01523,245.57,2026-04-13 17:24:00.000000,ATM,0,0,0,0
TXN0005334,ACC00101,ACC00900,320.11,2026-04-09 10:45:00.000000,ATM,0,0,0,0
TXN0000136,ACC00472,ACC00290,15000.0,2026-04-17 07:51:00.000000,Mobile,1,0,0,1
TXN0007276,ACC00487,ACC01505,3640.15,2026-04-08 13:34:00.000000,Mobile,0,0,0,0
TXN0007976,ACC00982,ACC01387,5000.0,2026-04-22 17:26:00.000000,Mobile,0,0,0,0
TXN0000625,ACC00011,ACC01871,10000.0,2026-04-18 00:49:00.000000,Mobile,1,0,0,1
TXN0009013,ACC01174,ACC00369,184.51,2026-04-24 11:37:00.000000,Internet Banking,0,0,0,0
TXN0001143,ACC00935,ACC01099,1027.59,2026-04-13 10:04:00.000000,Internet Banking,0,0,0,0
TXN0007941,ACC00090,ACC01945,357.0,2026-03-31 14:05:00.000000,ATM,0,0,0,0
TXN0010601,ACC01336,ACC01026,291.25,2026-04-04 11:33:00.000000,Internet Banking,0,0,0,0
TXN0003929,ACC01412,ACC00302,20000.0,2026-04-21 10:00:00.000000,Mobile,0,0,0,0
TXN0008395,ACC00106,ACC01796,1811.58,2026-04-18 19:37:00.000000,Mobile,0,0,0,0
